Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Mimikyu,95.9,778,ghost,fairy,159.7,179.8,135,3875876,50,2490,Shadow Claw,Shadow Sneak,Play Rough,7,8,5,50000
Lickilicky,93.8,463,normal,none,136.2,160.1,210,4578557,47,2499,Rollout,Body Slam*,Shadow Ball,3,4,3,50000
Corviknight,93.4,823,flying,steel,137.8,170,193,4522355,47,2497,Sand Attack,Air Cutter*,Payback,9,15,1,10000
Tinkaton,93.2,959,fairy,steel,140.3,177.3,178,4428816,50,2499,Fairy Wind,Gigaton Hammer*,Bulldoze,7,5,3,75000
Corviknight (Shadow),93.1,823,flying,steel,137.8,170,193,4522355,47,2497,Sand Attack,Air Cutter*,Payback,9,15,1,10000
Florges,93,671,fairy,none,154,183.3,143,4037457,28.5,2496,Fairy Wind,Chilling Water*,Disarming Voice,5,5,3,50000
Virizion,92.8,640,grass,fighting,146.1,180,162,4260018,31,2496,Double Kick,Leaf Blade,Sacred Sword*,3,3,20,100000
Empoleon (Shadow),92.7,395,water,steel,161.9,150.7,158,3856139,33,2500,Metal Sound,Hydro Cannon*,Drill Peck,5,5,3,10000
Empoleon,92.5,395,water,steel,161.9,150.7,158,3856139,33,2500,Metal Sound,Hydro Cannon*,Drill Peck,5,5,3,10000
Moltres (Galarian),92.2,146,dark,flying,149.5,175.6,158,4146723,29.5,2490,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Annihilape,91.8,979,fighting,ghost,159,135.7,181,3907139,28,2497,Low Kick,Rage Fist*,Ice Punch,5,5,3,50000
Annihilape (Shadow),91.8,979,fighting,ghost,159,135.7,181,3907139,28,2497,Counter,Rage Fist*,Ice Punch,6,7,3,50000
Jellicent,91.8,593,water,ghost,141.6,158.9,196,4409691,47.5,2499,Hex,Surf,Shadow Ball,4,4,3,50000
Primeape,91.8,57,fighting,none,182.4,127.4,147,3416160,48.5,2499,Karate Chop*,Rage Fist*,Ice Punch,4,5,3,50000
Forretress,91.7,205,bug,steel,144.9,182.4,163,4307907,48.5,2500,Volt Switch,Sand Tomb,Rock Tomb,3,4,5,75000
Zygarde (Complete Forme),91.7,718,dragon,ground,128.9,142,264,4833523,24,2498,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Feraligatr (Shadow),91.1,160,water,none,159.2,154.6,159,3912480,35,2496,Shadow Claw,Hydro Cannon*,Ice Beam,5,7,3,10000
Forretress (Shadow),91.1,205,bug,steel,144.9,182.4,163,4307907,48.5,2500,Volt Switch,Sand Tomb,Rock Tomb,3,4,5,75000
Ninetales (Alolan),91.1,38,ice,fairy,151.5,172.2,158,4121225,47.5,2499,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Kingdra,91,230,water,dragon,157,165.7,153,3979555,40.5,2499,Dragon Breath,Surf,Swift,12,9,3,50000
Ninetales (Alolan) (Shadow),90.8,38,ice,fairy,151.5,172.2,158,4121225,47.5,2499,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Registeel,90.8,379,steel,none,122.8,243.1,170,5073927,49,2498,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Blastoise,90.7,9,water,none,143.9,181.6,166,4337825,45.5,2498,Rollout,Hydro Cannon*,Skull Bash,4,6,3,10000
Dusknoir,90.7,477,ghost,none,153.2,222.4,119,4054725,48.5,2493,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Lapras,90.7,131,water,ice,134,149.8,231,4637587,40.5,2495,Psywave,Sparkling Aria,Ice Beam*,12,14,5,75000
Malamar,90.7,687,dark,psychic,152.1,149.6,180,4094867,50,2500,Psywave,Superpower,Foul Play,10,10,3,50000
Cramorant,90.6,845,flying,water,158,149.6,157,3709764,50,2421,Peck,Dive,Fly,5,6,3,50000
Dusknoir (Shadow),90.6,477,ghost,none,153.2,222.4,119,4054725,48.5,2493,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Malamar (Shadow),90.6,687,dark,psychic,152.1,149.6,180,4094867,50,2500,Psywave,Foul Play,Superpower,10,10,3,50000
Lapras (Shadow),90.5,131,water,ice,134,149.8,231,4637587,40.5,2495,Psywave,Sparkling Aria,Ice Beam*,12,14,5,75000
Regidrago,90.5,895,dragon,none,154.6,84.4,309,4030826,32.5,2496,Dragon Breath*,Dragon Energy*,Vise Grip,12,10,20,100000
Talonflame,90.5,663,fire,flying,160.5,142.9,168,3851770,50,2493,Incinerate*,Fly,Brave Bird,3,3,1,10000
Walrein,90.5,365,ice,water,145.4,147.8,200,4297195,38.5,2500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Walrein (Shadow),90.5,365,ice,water,145.4,147.8,200,4297195,38.5,2500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Dondozo,90.4,977,water,none,133.9,142.8,243,4646009,32,2495,Waterfall,Surf,Outrage,5,6,5,75000
Giratina (Altered),90.4,487,ghost,dragon,134.5,168.1,204,4613304,27.5,2494,Dragon Breath,Dragon Claw,Shadow Sneak,13,13,20,100000
Talonflame (Shadow),90.2,663,fire,flying,160.5,142.9,168,3851770,50,2493,Incinerate*,Flame Charge,Fly,3,3,1,10000
Bellibolt,90.1,939,electric,none,148,141.7,200,4196936,39.5,2497,Thunder Shock,Zap Cannon,Parabolic Charge,9,6,1,50000
Kingdra (Shadow),90,230,water,dragon,157,165.7,153,3979555,40.5,2499,Dragon Breath,Surf,Swift,12,9,3,50000
Milotic,89.9,350,water,none,145.2,172.6,171,4285417,31.5,2495,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Ninetales,89.9,38,fire,none,151.2,171.2,159,4116371,49,2498,Ember*,Weather Ball (Fire),Energy Ball*,4,5,3,50000
Steelix,89.9,208,steel,ground,126.6,238.2,163,4914537,48.5,2495,Thunder Fang,Psychic Fangs,Crunch,6,8,5,75000
Cradily,89.8,346,rock,grass,140.3,175.6,180,4436127,50,2499,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Cresselia,89.8,488,psychic,none,120.2,207.2,208,5179131,36.5,2499,Psycho Cut,Grass Knot*,Moonblast,6,7,20,100000
Feraligatr,89.7,160,water,none,159.2,154.6,159,3912480,35,2496,Shadow Claw,Hydro Cannon*,Ice Beam,5,7,3,10000
Giratina (Altered) (Shadow),89.7,487,ghost,dragon,137.4,163.1,202,4528800,27,2499,Dragon Breath,Dragon Claw,Shadow Sneak,13,13,20,100000
Oranguru,89.7,765,normal,psychic,142,170,182,4392287,47,2499,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Seaking,89.7,119,water,none,159.7,136.1,172,3738228,50,2444,Peck,Drill Run*,Icy Wind*,5,6,3,50000
Swampert,89.6,260,water,ground,157.7,141.3,177,3944235,32,2499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Runerigus,89.5,867,ground,ghost,146.6,208.6,139,4251447,49.5,2497,Shadow Claw,Shadow Ball,Rock Tomb,7,7,3,50000
