Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Mimikyu,95.9,778,ghost,fairy,159.7,179.8,135,3875876,50,2490,Shadow Claw,Shadow Sneak,Play Rough,7,8,5,50000
Lickilicky,93.7,463,normal,none,136.2,160.1,210,4578557,47,2499,Rollout,Body Slam*,Shadow Ball,3,4,3,50000
Corviknight,93.3,823,flying,steel,137.8,170,193,4522355,47,2497,Sand Attack,Air Cutter*,Payback,9,15,1,10000
Tinkaton,93.3,959,fairy,steel,140.3,177.3,178,4428816,50,2499,Fairy Wind,Gigaton Hammer*,Bulldoze,7,5,3,75000
Corviknight (Shadow),93.1,823,flying,steel,137.8,170,193,4522355,47,2497,Sand Attack,Air Cutter*,Payback,9,15,1,10000
Florges,93,671,fairy,none,154,183.3,143,4037457,28.5,2496,Fairy Wind,Chilling Water*,Disarming Voice,5,5,3,50000
Empoleon (Shadow),92.6,395,water,steel,161.9,150.7,158,3856139,33,2500,Metal Sound,Hydro Cannon*,Drill Peck,5,5,3,10000
Virizion,92.6,640,grass,fighting,146.1,180,162,4260018,31,2496,Double Kick,Leaf Blade,Sacred Sword*,3,3,20,100000
Empoleon,92.4,395,water,steel,161.9,150.7,158,3856139,33,2500,Metal Sound,Hydro Cannon*,Drill Peck,5,5,3,10000
Moltres (Galarian),92.2,146,dark,flying,149.5,175.6,158,4146723,29.5,2490,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Forretress,91.7,205,bug,steel,144.9,182.4,163,4307907,48.5,2500,Volt Switch,Rock Tomb,Sand Tomb,4,3,5,75000
Jellicent,91.7,593,water,ghost,141.6,158.9,196,4409691,47.5,2499,Hex,Surf,Shadow Ball,4,4,3,50000
Zygarde (Complete Forme),91.5,718,dragon,ground,128.9,142,264,4833523,24,2498,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Ninetales (Alolan),91.2,38,ice,fairy,151.5,172.2,158,4121225,47.5,2499,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Forretress (Shadow),91.1,205,bug,steel,144.9,182.4,163,4307907,48.5,2500,Volt Switch,Rock Tomb,Sand Tomb,4,3,5,75000
Ninetales (Alolan) (Shadow),90.9,38,ice,fairy,151.5,172.2,158,4121225,47.5,2499,Powder Snow,Weather Ball (Ice),Chilling Water*,5,6,3,50000
Kingdra,90.8,230,water,dragon,157,165.7,153,3979555,40.5,2499,Dragon Breath,Surf,Swift,12,9,3,50000
Dusknoir,90.7,477,ghost,none,153.2,222.4,119,4054725,48.5,2493,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Malamar (Mega),90.7,687,dark,psychic,153.8,172,153,4047073,29.5,2495,Psywave,Foul Play,Superpower,10,10,3,50000
