League,Rank,Pokemon,Score,Fast Move,Charged Move 1,Charged Move 2
Great,1,Lickilicky,93.7,Rollout,Body Slam*,Shadow Ball
Great,2,Tinkaton,92.6,Fairy Wind,Gigaton Hammer*,Bulldoze
Great,3,Altaria,92.2,Dragon Breath,Sky Attack,Flamethrower
Great,4,Empoleon,92.2,Metal Sound,Hydro Cannon*,Drill Peck
Great,5,Mimikyu,92.2,Shadow Claw,Shadow Sneak,Play Rough
Great,6,Altaria (Shadow),91.9,Dragon Breath,Sky Attack,Flamethrower
Great,7,Empoleon (Shadow),91.9,Metal Sound,Hydro Cannon*,Drill Peck
Great,8,Quagsire (Shadow),91.8,Mud Shot,Aqua Tail*,Mud Bomb
Great,9,Quagsire,91.7,Mud Shot,Aqua Tail*,Mud Bomb
Great,10,Jellicent,91.6,Hex,Surf,Shadow Ball
Great,11,Forretress,91.5,Volt Switch,Sand Tomb,Rock Tomb
Great,12,Ninetales,91.4,Ember*,Weather Ball (Fire),Energy Ball*
Great,13,Cramorant,91.1,Peck,Dive,Fly
Great,14,Ninetales (Shadow),91.1,Ember*,Weather Ball (Fire),Energy Ball*
Great,15,Feraligatr,91.0,Shadow Claw,Hydro Cannon*,Ice Beam
Great,16,Forretress (Shadow),91.0,Volt Switch,Sand Tomb,Rock Tomb
Great,17,Corsola (Galarian),90.9,Astonish,Night Shade,Power Gem
Great,18,Jumpluff,90.9,Fairy Wind,Energy Ball,Acrobatics*
Great,19,Clodsire,90.8,Poison Sting,Earthquake,Stone Edge
Great,20,Corviknight,90.7,Sand Attack,Air Cutter*,Payback
Great,21,Fearow,90.7,Peck,Drill Peck,Drill Run
Great,22,Feraligatr (Shadow),90.6,Shadow Claw,Hydro Cannon*,Ice Beam
Great,23,Kingdra,90.6,Dragon Breath,Surf,Swift
Great,24,Azumarill,90.5,Bubble,Ice Beam,Play Rough
Great,25,Guzzlord,90.5,Dragon Tail,Brutal Swing,Sludge Bomb
Great,26,Furret,90.3,Sucker Punch,Swift,Trailblaze
Great,27,Kingdra (Shadow),90.3,Dragon Breath,Surf,Swift
Great,28,Lapras,90.3,Psywave,Sparkling Aria,Ice Beam*
Great,29,Corviknight (Shadow),90.2,Sand Attack,Air Cutter*,Payback
Great,30,Dragonair (Shadow),90.2,Dragon Breath,Wrap,Aqua Tail
Great,31,Sableye (Shadow),90.2,Shadow Claw,Foul Play,Drain Punch
Great,32,Seismitoad,90.2,Mud Shot,Earth Power,Icy Wind
Great,33,Umbreon,90.2,Snarl,Foul Play,Last Resort*
Great,34,Medicham,90.1,Psycho Cut,Ice Punch,Dynamic Punch
Great,35,Talonflame,90.1,Incinerate*,Fly,Brave Bird
Great,36,Dragonair,90.0,Dragon Breath,Aqua Tail,Dragon Pulse
Great,37,Oinkologne (Female),89.9,Mud Slap*,Body Slam,Trailblaze
Great,38,Sliggoo,89.9,Dragon Breath,Body Slam,Dragon Pulse
Great,39,Sealeo,89.8,Powder Snow,Surf,Body Slam
Great,40,Greedent,89.7,Mud Shot,Body Slam,Trailblaze
Great,41,Grumpig,89.7,Psywave,Dynamic Punch,Shadow Ball
Great,42,Sealeo (Shadow),89.7,Powder Snow,Surf,Body Slam
Great,43,Thievul,89.7,Sucker Punch,Night Slash,Icy Wind*
